pH,Conductivity (mS/m),Turbidity (NTU),Colour (TCU),Ammonium (mg/L)
8.07,49,4,25,0.32
8.4,38.9,4.53,22.9,0.42
8.28,50.1,4,27,0.656
8.49,47.4,7,35,0.286
8.64,45.2,8,26,0.171
9.24,36.9,14,36,0.111
9.2025,38.55,14.625,29.25,0.26925
9.69,39.72,11.75,29,0.17
8.8,46.6,10.09,29,0.19
8.42,46.73,10.76,24,0.2
8.29,47.74,3.33,22,0.32
8.35,47.03,2.76,22,0.5
8.1,45.5,2.13,36,1.27
7.88,47.47,4.18,27.25,1.68
8.59,46,9.48,33,0.84
8.02,46.12,3.81,25,1.03
7.93,45.47,3.99,34,0.74
8.57,38.62,12.23,33.4,0.08
7.93,40.8,6.88,24,0.13
7.676000118,43.38000107,9.890000343,33.40000153,0.121820003
8.03,45.88,5.7,25.75,0.09
7.72,49.15,1.98,22,0.06
7.94,50.54,1.55,27,0.99
8.11,52.03,1.64,24.75,0.28
8.15,54,3.42,29.5,0.23
7.87,44.21,3.07,28.6,0.07
8.6,48.6,3.08,30,0.09
8.27,44.47,11.85,47.5,0.23
8.03,41.38,10.11,53,0.21
7.49,33.95,23.09,65.5,0.38
8.45,31.63,27.39,79.5,0.34
7.93,109.08,5.06,37.4,0.76
7.91,44.84,5.1,39,0.74
7.95,47.6,2.8,30,0.62
7.89,47.94,2.02,34.25,1.04
7.84,49.67,1.57,34.25,1.12
8.06,51.72,3.14,34.25,1.07
8.59,51.55,6.19,30.5,0.76
9.16,47.7,9.91,36.4,0.23
7.66,40.6,14.01,17,0.15
8.84,37.38,8.66,34,0.24
7.69,40.18,11.1,28.8,0.52
8.95,42.32,10.69,32,0.49
8.71,44.72,15.79,26,0.31
7.91,47.7,18.97,31.33,0.91
7.98,51.28,4.46,22,0.35
8.06,53.36,2.2,33,1.21
8.2,53.03,2.41,25.75,2.07
8.21,54.38,2.6,30,1.93
8.75,59.08,3.02,31.8,0.78
8.04,58.03,3.01,24,0.7
8.77,55.5,4.68,25,0.43
8.23,49.44,4.72,20.2,0.27
8.5,50.96,15.6,21.3,0.3
8.587499619,45.75,6.734999657,22.25,0.15975
8.18,48.12,16.1,27.6,0.08
7.97,49.75,4.06,21.25,0.77
7.94,52.9,2.02,20,0.91
2.41,54.04,2.41,19.4,1.66
8.11,54.75,3.04,20,2.44
7.89,55.18,2.86,19,0.48
7.96,52.75,10.44,32.75,0.14
8.34,48.9,3.31,30,1.85
7.71,49.86,4.06,28,0.44
7.89,47.38,3.17,34,0.23
7.55,42.17,0.743,13,0.17
7.33,41.38,8.53,31,1.21
7.64,45.38,3.59,29,2.06
8.09,49.3,1.71,17,3.13
7.42,52.48,1.36,20,5.13
7.69,56.7,1.57,33,7.67
7.95,55.3,1.5,23,8.5
8.01,35,2.26,29,55.33
7.87,55.33,2.55,35,8.98
7.82,53.13,4.01,49,5.23
7.93,51.96,4.8,49,4.21
8.02,48.86,4.81,49,3.48
8.08,43.82,24.66,142,2.29
7.59,29.22,23.08,147,1.48
7.73,37.95,4.36,44,2.92
7.79,43.85,1.94,20,4.43
7.95,28.7,29,50,0.48
7.62,29.2,28,64,0.42
7.8,29,25.8,63.3,0.5
7.53,31.7,64,110,0.87
7.47,32.8,66,114,0.76
7.46,35.4,62,156,0.47
7.43,35.4,83,274,0.8
7.32,31.5,117,300,1.38
7.37,27.5,73,193,0.6
7.55,27.9,49,112,0.27
7.3,30.05,40.25,69,0.44
7.59,30.53,29,49,0.24
7.6,32.83,25.53,37,0.31
7.68,32.36,26.7,43.2,0.47
7.49,32.55,48.75,231,0.89
7.3,27.8,21.1,399,0.45
7.29,27.7,73.76,184,0.59
7.19,30,77.13,201,1.66
7.31,29.4,126.47,313.6,1.36
7.14,30.4,56.13,278,0.48
7.35,33.38,35.78,302,0.32
6.88,34.08,40.3,107,0.08
6.69,34.1,47.56,144,0.06
7.74,32.8,37.5,103,0.04
7.95,33.3,30.9,88.2,0.1
